TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2024-02-20,2024-02-20,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,4515.00,4545.00,4468.80,4522.10,4522.10,4491.60,,4524.45,,,6018,27165507.00,1491,F1,1,,,,,
2024-02-20,2024-02-20,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,465.65,471.00,454.35,464.95,464.95,468.45,,465.40,,,115871,53705939.00,4327,F1,1,,,,,
2024-02-20,2024-02-20,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,856.00,867.50,849.00,852.00,854.00,855.35,,852.05,,,35692,30551711.00,2640,F1,1,,,,,
2024-02-20,2024-02-20,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,60.99,64.00,60.00,61.36,61.50,60.58,,61.36,,,120359,7494122.00,609,F1,1,,,,,
2024-02-20,2024-02-20,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,87.80,89.80,87.00,87.65,87.65,87.80,,87.65,,,138037,12170831.00,2470,F1,1,,,,,
2024-02-20,2024-02-20,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,8.93,9.09,8.81,8.96,9.00,8.85,,8.96,,,75931,683780.00,330,F1,1,,,,,
2024-02-20,2024-02-20,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,XT,,,,,ARUNA HOTELS LTD.,19.30,19.30,18.03,18.27,18.26,18.53,,18.27,,,8766,164259.00,52,F1,1,,,,,
2024-02-20,2024-02-20,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,174.00,183.50,173.10,179.65,179.65,173.85,,179.50,,,324655,58360620.00,4326,F1,1,,,,,
2024-02-20,2024-02-20,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,136.00,139.95,135.10,136.15,136.00,136.60,,136.40,,,782,106752.00,29,F1,1,,,,,
2024-02-20,2024-02-20,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6323.45,6407.00,6281.00,6336.45,6329.70,6315.25,,6338.35,,,1707,10805342.00,564,F1,1,,,,,
2024-02-20,2024-02-20,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,22.99,22.99,21.63,21.79,21.63,22.76,,21.79,,,60085,1330071.00,237,F1,1,,,,,
2024-02-20,2024-02-20,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,1005.05,1029.75,1005.05,1020.35,1025.85,1030.80,,1022.30,,,1451,1484163.00,258,F1,1,,,,,
2024-02-20,2024-02-20,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,37.59,40.50,37.03,38.88,38.88,37.39,,38.90,,,7201434,280695118.00,15770,F1,1,,,,,
2024-02-20,2024-02-20,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,5730.05,6117.95,5620.70,6050.40,6050.40,5720.20,,6050.40,,,58947,351754322.00,10998,F1,1,,,,,
2024-02-20,2024-02-20,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,6724.90,6791.00,6681.00,6768.65,6768.65,6714.60,,6763.85,,,70013,473148618.00,8852,F1,1,,,,,
