TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-07-25,2024-07-25,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7479.50,7761.20,7408.95,7627.55,7630.00,7526.00,,7623.90,,,17712,134811134.00,2161,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,882.00,896.50,870.05,882.45,882.45,871.90,,885.05,,,15146,13383085.00,1021,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1550.55,1587.90,1550.55,1565.70,1569.00,1574.10,,1565.80,,,49877,78217512.00,4397,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,68.10,72.50,68.01,70.46,70.46,69.18,,70.46,,,593687,41898442.00,1660,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,108.80,114.25,105.10,113.10,113.10,109.40,,113.10,,,243926,27141109.00,1791,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,10.09,10.20,9.80,10.16,10.17,10.09,,10.13,,,20879,211060.00,38,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,7.99,7.99,7.66,7.73,7.73,7.72,,7.73,,,16938,130848.00,196,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,10.61,10.81,10.50,10.81,10.81,10.30,,10.81,,,112196,1205002.00,160,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,227.95,243.10,226.40,234.45,234.80,229.95,,234.59,,,250627,59448550.00,5883,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,203.95,206.55,187.55,204.30,201.70,196.75,,206.64,,,4062,798990.00,111,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,7200.95,7329.05,7176.05,7311.50,7311.50,7311.15,,7300.50,,,1721,12513661.00,630,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,30.10,30.53,30.10,30.53,30.53,29.94,,30.53,,,48408,1459316.00,69,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,996.15,1000.00,984.45,993.95,993.60,990.60,,994.10,,,2425,2408046.00,411,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,40.77,44.49,40.77,42.47,42.47,41.65,,42.48,,,6799906,294290351.00,17093,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,8221.10,8255.10,8121.65,8221.75,8207.45,8240.75,,8216.85,,,1065,8721407.00,396,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,6579.35,6665.00,6560.00,6649.10,6649.10,6610.10,,6647.80,,,44765,296480500.00,8378,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,446.35,461.60,444.50,446.75,446.75,452.25,,447.30,,,101279,45944377.00,2962,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,697.90,697.90,677.10,687.60,686.00,690.05,,687.10,,,7144,4885446.00,663,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500040,INE055A01016,CENTURYTEX,A,,,,,CENTURY TEXTILES & INDUSTRIES,2289.35,2309.80,2245.95,2299.90,2302.00,2290.10,,2300.70,,,19502,44504581.00,2747,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,3091.05,3205.90,3091.05,3130.75,3130.75,3076.10,,3113.65,,,111,349706.00,75,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,5909.25,6200.00,5762.70,6174.05,6174.05,5896.40,,6173.05,,,5319,31962368.00,1144,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1590.00,1619.60,1585.30,1597.10,1595.35,1602.30,,1597.55,,,9433,15133675.00,1550,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,4550.05,4571.90,4420.60,4479.90,4479.90,4595.85,,4480.55,,,50694,227972765.00,6146,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,297.95,303.30,293.20,301.30,301.30,300.15,,301.45,,,2342117,700813443.00,32564,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,146.00,152.35,144.55,145.65,145.65,146.75,,145.83,,,153844,22831747.00,3291,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500058,INE819C01011,BIHSPONG,X,,,,,BIHAR SPONGE IRON LTD.,17.88,17.88,16.50,17.39,17.60,17.07,,17.39,,,99877,1725810.00,482,F1,1,,,,,
2024-07-25,2024-07-25,CM,BSE,STK,500059,INE071A01013,BINANIIND,B,,,,,BINANI INDUSTRIES LTD.,15.79,16.00,15.20,15.89,15.98,15.60,,15.82,,,12109,190712.00,55,F1,1,,,,,
