,TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04,Rsvd1,Rsvd2,Rsvd3,Rsvd4
0,2024-02-20,2024-02-20,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,4515.0,4545.0,4468.8,4522.1,4522.1,4491.6,,4524.45,,,6018,27165507.0,1491,F1,1,,,,,,,,,
4285,2024-06-18,2024-06-18,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,9200.0,9200.0,8796.65,8866.3,8885.1,9021.85,,8867.0,,,17222,153337693.0,4256,F1,1,,,,,,,,,
8835,2024-06-24,2024-06-24,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8424.95,8564.6,8278.1,8459.4,8463.0,8397.25,,8465.15,,,6976,59018029.0,1507,F1,1,,,,,,,,,
13340,2024-04-26,2024-04-26,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6455.5,6488.85,6376.85,6409.05,6409.05,6435.45,,6410.4,,,8238,52935052.0,1575,F1,1,,,,,,,,,
17551,2024-06-25,2024-06-25,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8463.05,8598.75,8384.0,8400.3,8392.0,8459.4,,8399.65,,,3644,30935019.0,1014,F1,1,,,,,,,,,
21879,2024-06-19,2024-06-19,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8919.05,8919.05,8520.0,8541.45,8550.0,8866.3,,8543.95,,,13403,115783458.0,3487,F1,1,,,,,,,,,
26169,2024-02-21,2024-02-21,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,4622.3,5019.0,4622.3,4989.3,4989.3,4522.1,,4984.8,,,148417,730114321.0,12794,F1,1,,,,,,,,,
30452,2024-02-23,2024-02-23,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5429.0,5523.05,5321.5,5389.6,5389.6,5431.5,,5391.95,,,78176,422777810.0,7819,F1,1,,,,,,,,,
34728,2024-06-27,2024-06-27,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8343.75,8689.0,8332.85,8636.0,8636.0,8390.95,,8642.9,,,15611,133376627.0,3515,F1,1,,,,,,,,,
39057,2024-04-19,2024-04-19,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6350.45,6368.85,6247.45,6291.2,6290.0,6367.2,,6292.55,,,14340,90413551.0,2062,F1,1,,,,,,,,,
43298,2024-04-25,2024-04-25,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,6358.05,6462.5,6348.25,6435.45,6410.95,6342.95,,6431.8,,,9993,64168579.0,1342,F1,1,,,,,,,,,
