TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2024-03-11,2024-03-11,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,5846.95,5936.45,5771.70,5826.05,5826.05,5771.70,,5840.75,,,25395,149017807.00,3148,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,440.00,440.00,400.25,403.85,403.85,433.45,,403.75,,,37227,15362636.00,1616,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,871.00,895.65,864.45,884.20,884.80,868.00,,881.75,,,28306,24934020.00,1754,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,51.89,51.89,45.15,47.65,47.65,51.22,,47.65,,,254415,12237672.00,1175,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,86.50,87.30,85.75,86.32,86.32,86.46,,86.32,,,141574,12262067.00,466,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,10.00,10.00,10.00,10.00,10.00,10.52,,10.05,,,26900,269000.00,10,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,8.06,8.36,7.89,7.95,7.95,8.06,,7.95,,,33608,268309.00,268,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,XT,,,,,ARUNA HOTELS LTD.,17.42,17.42,16.01,16.17,16.17,16.65,,16.17,,,3948,66827.00,45,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,172.25,172.45,163.15,164.70,164.70,172.35,,164.50,,,88849,14856103.00,1819,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,T,,,,,ASIAN HOTELS (NORTH) LIMITED,127.90,127.90,122.70,123.15,125.95,123.40,,122.45,,,79,9742.00,6,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,6106.80,6130.00,6005.00,6019.25,6019.25,6106.80,,6014.05,,,1930,11683326.00,566,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500028,INE447A01015,ATVPR,XT,,,,,ATV PROJECTS INDIA LTD.,19.00,19.00,17.70,18.05,18.09,18.63,,18.05,,,35644,638234.00,192,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,992.40,999.60,978.00,983.75,984.20,999.05,,981.80,,,2360,2328228.00,412,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,33.69,33.94,31.00,31.22,31.22,33.16,,31.20,,,1053981,33770561.00,3041,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,6500.45,6900.00,6341.45,6757.10,6757.10,6484.75,,6748.90,,,21352,143169646.00,5419,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500034,INE296A01024,BAJFINANCE,A,,,,,BAJAJ FINANCE LIMITED,6555.50,6555.50,6406.00,6456.20,6438.00,6419.30,,6434.15,,,30125,194683010.00,2900,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500038,INE119A01028,BALRAMCHIN,A,,,,,BALRAMPUR CHINI MILLS LTD.,379.45,379.45,373.00,374.20,373.00,377.85,,374.80,,,22905,8603195.00,861,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500039,INE213C01025,BANCOINDIA,B,,,,,BANCO PRODUCTS (INDIA) LTD.,628.45,633.55,608.45,614.15,614.15,632.70,,613.25,,,20503,12696339.00,1316,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500040,INE055A01016,CENTURYTEX,A,,,,,CENTURY TEXTILES & INDUSTRIES,1504.55,1533.50,1462.35,1466.75,1462.45,1530.30,,1468.00,,,23405,34841485.00,1814,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500041,INE459A01010,BANARISUG,B,,,,,BANNARI AMMAN SUGARS LTD.,2540.00,2570.05,2492.55,2509.05,2492.55,2578.35,,2501.70,,,63,158729.00,40,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500042,INE373A01013,BASF,A,,,,,BASF INDIA LTD.,3206.05,3230.45,3179.45,3226.25,3228.10,3222.40,,3225.75,,,761,2441968.00,256,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500043,INE176A01028,BATAINDIA,A,,,,,BATA INDIA LTD.,1450.20,1465.00,1434.75,1445.95,1440.50,1450.05,,1447.10,,,8373,12124317.00,560,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500048,INE258A01016,BEML,A,,,,,BEML LTD.,3258.55,3259.00,3142.75,3200.20,3168.20,3216.00,,3196.35,,,5365,17099317.00,829,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500049,INE263A01024,BEL,A,,,,,BHARAT ELECTRONICS LTD.,216.50,216.65,211.90,212.40,212.40,215.40,,212.55,,,1307717,280066079.00,14567,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500052,INE922A01025,BEPL,B,,,,,BHANSALI ENGINEERING POLYMERS,93.75,94.14,89.55,89.97,89.97,93.59,,90.04,,,132024,12001112.00,2313,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500058,INE819C01011,BIHSPONG,XT,,,,,BIHAR SPONGE IRON LTD.,16.30,16.30,15.01,15.68,15.68,15.58,,15.68,,,49209,775297.00,226,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500059,INE071A01013,BINANIIND,T,,,,,BINANI INDUSTRIES LTD.,14.89,14.89,14.06,14.06,14.06,14.80,,14.00,,,12537,179426.00,45,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500060,INE800A01015,BIRLACABLE,B,,,,,Birla Cable Limited,259.35,268.25,257.00,258.25,258.25,269.40,,258.30,,,29262,7671471.00,1429,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500067,INE472A01039,BLUESTARCO,A,,,,,BLUE STAR LTD.,1334.25,1358.65,1315.40,1325.00,1325.00,1324.60,,1325.80,,,17108,22953008.00,1570,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500068,INE131C01011,DISAQ,B,,,,,DISA INDIA LTD.,14195.95,14195.95,13700.00,13749.80,13703.10,13947.55,,13749.80,,,115,1588528.00,48,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500069,INE418C01012,QUESTCAP,X,,,,,QUEST CAPITAL MARKETS LIMITED,350.00,350.00,330.00,330.90,330.00,357.90,,330.90,,,88,29752.00,20,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500074,INE110A01019,BPL,B,,,,,BPL LTD.,96.55,96.55,90.80,91.45,91.50,94.95,,91.30,,,5516,510163.00,177,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500078,INE959C01023,OAL,B,,,,,ORIENTAL AROMATICS LIMITED,352.35,352.40,344.95,348.35,347.35,352.40,,348.00,,,1131,393426.00,131,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500083,INE281A01026,CENTEXT,T,,,,,CENTURY EXTRUSIONS LTD.,21.25,22.10,21.00,21.69,21.08,21.55,,21.27,,,45684,984402.00,258,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500084,INE486A01021,CESC,A,,,,,CESC LTD.,125.65,125.75,120.70,121.35,121.35,125.45,,121.40,,,483348,59435596.00,5988,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500085,INE085A01013,CHAMBLFERT,A,,,,,CHAMBAL FERTILISERS & CHEMICAL,377.55,377.80,371.25,372.70,372.70,372.60,,372.70,,,77102,28902538.00,1977,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500086,INE302A01020,EXIDEIND,A,,,,,EXIDE INDUSTRIES LTD.,329.45,332.05,322.25,323.00,323.95,328.10,,323.05,,,82187,26752605.00,1984,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500087,INE059A01026,CIPLA,A,,,,,CIPLA LTD.,1490.35,1519.00,1490.35,1503.90,1503.90,1481.95,,1504.10,,,31781,47884470.00,2265,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500089,INE303A01010,DICIND,B,,,,,DIC INDIA LTD.,465.30,465.30,455.30,459.85,460.00,470.40,,459.25,,,784,361222.00,78,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500092,INE007A01025,CRISIL,A,,,,,CRISIL LTD.,4988.75,5030.00,4916.00,4925.15,4946.95,4933.25,,4924.75,,,2448,12159768.00,722,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500093,INE067A01029,CGPOWER,A,,,,,CG Power and Industrial Soluti,465.65,474.00,449.70,469.05,469.05,457.80,,469.45,,,392987,182123017.00,10017,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500096,INE016A01026,DABUR,A,,,,,DABUR INDIA LTD.,535.00,538.55,532.00,533.55,533.55,534.65,,533.40,,,14825,7952271.00,575,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500097,INE495A01022,DALMIASUG,B,,,,,DALMIA BHARAT SUGAR AND INDUST,393.55,397.00,376.75,379.80,379.80,393.25,,381.20,,,10554,4062749.00,881,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500101,INE034A01011,ARVIND,A,,,,,ARVIND LTD.,273.55,277.70,252.00,262.40,262.40,274.90,,262.45,,,71733,18503349.00,1816,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500103,INE257A01026,BHEL,A,,,,,BHARAT HEAVY ELECTRICALS LTD.,259.00,259.50,253.80,254.35,254.35,257.45,,254.55,,,1287728,330439130.00,10081,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500104,INE094A01015,HINDPETRO,A,,,,,HINDUSTAN PETROLEUM CORPORATIO,505.30,522.00,497.60,511.55,511.55,508.70,,511.85,,,315343,162094838.00,6523,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500106,INE039A01010,IFCI,A,,,,,IFCI LTD.,41.98,42.40,39.89,39.89,39.89,41.98,,39.85,,,1875787,76010617.00,10879,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500108,INE153A01019,MTNL,B,,,,,MAHANAGAR TELEPHONE NIGAM LTD.,40.29,40.69,38.42,38.81,38.81,40.59,,38.80,,,486984,19197049.00,2687,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500109,INE103A01014,MRPL,A,,,,,MANGALORE REFINERY & PETROCHEM,235.55,235.55,217.25,218.80,218.80,233.35,,218.85,,,446543,100301214.00,7325,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500110,INE178A01016,CHENNPETRO,A,,,,,CHENNAI PETROLEUM CORPORATION,899.50,905.00,881.65,887.40,884.35,903.90,,887.90,,,22608,20190984.00,1257,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500112,INE062A01020,SBIN,A,,,,,STATE BANK OF INDIA,788.65,792.80,770.70,773.50,773.50,788.15,,773.70,,,603641,470553020.00,19810,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500113,INE114A01011,SAIL,A,,,,,STEEL AUTHORITY OF INDIA LTD.,139.60,140.50,132.90,134.20,134.20,139.00,,134.30,,,2621855,358292363.00,22123,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500114,INE280A01028,TITAN,A,,,,,TITAN COMPANY LIMITED,3790.45,3803.40,3741.60,3750.05,3750.05,3787.50,,3750.15,,,27909,105425945.00,3756,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500116,INE008A01015,IDBI,A,,,,,IDBI BANK LTD.,86.00,87.96,83.80,84.24,84.24,85.49,,84.10,,,821891,70939136.00,6968,F1,1,,,,,
2024-03-11,2024-03-11,CM,BSE,STK,500117,INE500A01029,DCW,B,,,,,DCW LTD.,56.72,56.92,53.59,53.92,53.92,56.50,,53.85,,,190213,10439728.00,1286,F1,1,,,,,
